Total_Population,Total_Population_White_Alone,state_county
13630,6621,53001
17729,16099,53003
152644,113123,53005
61405,45417,53007
64588,53896,53009
385835,300790,53011
3277,2896,53013
85596,72143,53015
32199,22276,53017
5831,4352,53019
66302,33500,53021
1799,1661,53023
70900,43781,53025
60530,49109,53027
71175,57361,53029
1813470,1070548,53033
219552,169927,53035
36115,30252,53037
64000,54326,53041
8582,7782,53043
32978,22925,53047
19358,16338,53049
709366,481554,53053
15258,13439,53055
9798,8531,53059
639797,441622,53061
36608,31669,53065
231089,175784,53067
49597,37430,53071
182483,145835,53073
184371,97808,53077
28951,25524,53031
18296,15080,53039
53265,43108,53045
10878,9729,53051
101710,79544,53057
421551,354720,53063
3655,3297,53069
40521,31026,53075
